Order Date,Region,Manager,Category,Channel,Units,Revenue,Gross Profit,Margin,Avg Unit Price
07.04.2024,South,S. Kim,Storage,Online,40,65214,9672.68,0.1483,1630.35
06.12.2024,Central,R. Silva,Monitors,Partner,4,2725.68,1054.14,0.3867,681.42
16.06.2024,East,D. Orlov,Storage,Retail,45,6298.65,1634.63,0.2595,139.97
20.09.2024,West,L. Chen,Monitors,Online,47,69968.43,22431.41,0.3206,1488.69
02.08.2024,West,S. Kim,Storage,Online,40,38938.4,11312,0.2905,973.46
18.05.2025,South,S. Kim,Laptops,Online,22,2664.2,1134.49,0.4258,121.1
19.05.2025,Central,M. Ivanova,Peripherals,Retail,10,6370.1,2668.49,0.4189,637.01
04.01.2024,South,L. Chen,Storage,Retail,37,9829.05,1912.57,0.1946,265.65
23.10.2024,West,L. Chen,Networking,Retail,56,74520.32,28027.95,0.3761,1330.72
06.08.2025,Central,A. Petrov,Storage,Online,2,2050.1,238.39,0.1163,1025.05
01.08.2025,North,M. Ivanova,Laptops,Retail,52,81190.72,34053.08,0.4194,1561.36
09.02.2025,South,R. Silva,Storage,Retail,55,38678.2,4763.43,0.1232,703.24
14.11.2024,Central,M. Ivanova,Networking,Retail,18,2039.4,166.21,0.0815,113.3
19.06.2025,Central,A. Petrov,Storage,Partner,58,26796,2244.72,0.0838,462
25.01.2025,South,R. Silva,Storage,Partner,13,12847.51,1309.22,0.1019,988.27
02.01.2024,Central,S. Kim,Networking,Partner,19,32970.89,13423.85,0.4071,1735.31
27.07.2025,South,L. Chen,Monitors,Retail,49,54646.27,6771.67,0.1239,1115.23
14.09.2025,Central,D. Orlov,Storage,Online,32,47932.48,20283.12,0.4232,1497.89
23.08.2025,Central,D. Orlov,Networking,Retail,18,5695.02,1125.63,0.1977,316.39
19.01.2024,South,A. Petrov,Storage,Partner,12,16282.08,3441.14,0.2113,1356.84
14.06.2024,Central,D. Orlov,Monitors,Online,40,27835.6,10980.89,0.3945,695.89
24.08.2024,Central,D. Orlov,Peripherals,Retail,19,32325.46,8420.25,0.2605,1701.34
11.08.2024,South,S. Kim,Networking,Retail,15,19758,6884.83,0.3485,1317.2
15.09.2025,Central,L. Chen,Storage,Partner,58,56681.66,18057.63,0.3186,977.27
26.05.2024,West,S. Kim,Storage,Online,51,4478.31,1656.88,0.37,87.81
25.05.2025,East,L. Chen,Monitors,Online,33,5292.87,2290.56,0.4328,160.39
11.02.2024,East,S. Kim,Networking,Online,19,5403.03,1911.84,0.3538,284.37
29.08.2025,East,M. Ivanova,Networking,Partner,43,75277.52,18171.94,0.2414,1750.64
08.05.2025,East,D. Orlov,Peripherals,Partner,17,23582.23,2174.03,0.0922,1387.19
19.07.2024,North,A. Petrov,Monitors,Online,23,20728.75,2989.73,0.1442,901.25
08.11.2024,Central,M. Ivanova,Storage,Partner,49,62714.12,22607.41,0.3605,1279.88
12.08.2024,South,A. Petrov,Laptops,Online,19,11484.74,1284.09,0.1118,604.46
19.09.2024,North,A. Petrov,Networking,Online,27,32782.05,4984.4,0.152,1214.15
27.09.2024,East,S. Kim,Monitors,Online,35,31834.25,12254.49,0.3849,909.55
10.10.2024,North,L. Chen,Storage,Partner,29,11602.32,3179.98,0.2741,400.08
20.01.2024,Central,L. Chen,Storage,Partner,11,9316.89,2563.93,0.2752,846.99
12.10.2024,East,A. Petrov,Peripherals,Retail,7,12310.48,3139.9,0.2551,1758.64
06.08.2025,Central,S. Kim,Peripherals,Online,1,1114.99,188.68,0.1692,1114.99
25.03.2025,West,R. Silva,Laptops,Retail,6,8313.24,2523,0.3035,1385.54
25.02.2024,South,A. Petrov,Monitors,Retail,7,1991.36,687.58,0.3453,284.48
17.01.2025,South,R. Silva,Peripherals,Online,16,6170.88,1311.86,0.2126,385.68
12.03.2025,North,A. Petrov,Monitors,Online,51,86322.6,24491.47,0.2837,1692.6
02.12.2024,North,M. Ivanova,Laptops,Retail,35,16233,3742.31,0.2305,463.8
22.02.2025,West,R. Silva,Monitors,Online,38,58311.38,24267.5,0.4162,1534.51
09.01.2024,South,L. Chen,Monitors,Retail,40,5710.8,1807.39,0.3165,142.77
31.01.2024,North,A. Petrov,Peripherals,Partner,19,32030.2,3432.12,0.1072,1685.8
03.05.2024,North,M. Ivanova,Peripherals,Online,1,1227.14,230.36,0.1877,1227.14
25.11.2024,Central,L. Chen,Monitors,Retail,13,14525.42,3684.21,0.2536,1117.34
03.08.2024,South,M. Ivanova,Peripherals,Partner,45,80373.6,9299.96,0.1157,1786.08
24.03.2025,Central,A. Petrov,Monitors,Partner,8,8728.48,2260.79,0.259,1091.06
06.05.2025,West,D. Orlov,Networking,Retail,46,77986.56,11300.55,0.1449,1695.36
08.12.2024,Central,D. Orlov,Storage,Retail,18,24560.1,3459.03,0.1408,1364.45
29.06.2025,East,M. Ivanova,Peripherals,Partner,36,34250.04,7942.98,0.2319,951.39
17.03.2024,Central,M. Ivanova,Peripherals,Retail,13,7608.38,880.54,0.1157,585.26
05.05.2025,North,R. Silva,Networking,Retail,55,38295.95,13744.9,0.3589,696.29
22.08.2025,South,R. Silva,Laptops,Retail,28,40198.76,8532.1,0.2122,1435.67
06.06.2024,North,M. Ivanova,Storage,Online,57,67450.95,20321.81,0.3013,1183.35
13.10.2024,Central,R. Silva,Laptops,Retail,24,39858.24,17161.39,0.4306,1660.76
05.05.2024,Central,D. Orlov,Peripherals,Online,6,9932.82,1752.19,0.1764,1655.47
18.10.2024,North,L. Chen,Peripherals,Online,9,2457.9,958.78,0.3901,273.1
12.05.2025,West,M. Ivanova,Storage,Partner,1,1549.87,242.85,0.1567,1549.87
14.08.2024,West,D. Orlov,Networking,Retail,51,25655.04,3724.93,0.1452,503.04
07.09.2025,Central,A. Petrov,Laptops,Online,34,11039.46,2945.93,0.2669,324.69
24.07.2025,West,D. Orlov,Monitors,Partner,8,7511.12,1058.21,0.1409,938.89
08.07.2024,East,S. Kim,Networking,Partner,55,63352.85,21436.68,0.3384,1151.87
11.09.2024,South,R. Silva,Laptops,Partner,40,2256.4,614.66,0.2724,56.41
26.04.2024,South,M. Ivanova,Networking,Partner,1,1293.23,368.79,0.2852,1293.23
