Ticket ID,Opened,Customer,Email,Priority,Channel,Subject,Resolution Hours,Reopened
T-20000,10.09.2025,Anna Silva,anna.silva24@example.com,Urgent,Chat,Feature request: bulk edit,4.1,2
T-20001,09.03.2025,Tom Tanaka,tom.tanaka28@example.com,Low,Phone,Cannot export report to PDF,52.5,0
T-20002,03.06.2025,Tom Costa,tom.costa66@example.com,Normal,Email,Feature request: bulk edit,29.7,0
T-20003,08.06.2025,Elena Silva,elena.silva78@example.com,Normal,Email,Feature request: bulk edit 573,23,0
T-20004,04.04.2025,Priya Novak,priya.novak14@example.com,High,Phone,Data import stops at 40 percent 270,92.7,0
T-20005,13.07.2025,Yuki Costa,yuki.costa16@example.com,Urgent,Email,Feature request: bulk edit,36.4,2
T-20006,21.07.2025,Omar Sharma,omar.sharma64@example.com,Normal,Chat,Invoice amount does not match the order 605,32.2,0
T-20007,17.06.2025,Diego Silva,diego.silva3@example.com,High,Phone,Invoice amount does not match the order 121,36,2
T-20008,29.03.2025,Tom Tanaka,tom.tanaka70@example.com,Urgent,Chat,Need help configuring SSO 24,20.1,1
T-20009,26.06.2025,Omar Silva,omar.silva31@example.com,High,Email,Login fails after password reset,58.2,1
T-20010,17.05.2025,Marcus Haddad,marcus.haddad85@example.com,Normal,Phone,Duplicate records after sync,80.1,1
T-20011,13.08.2025,Yuki Haddad,yuki.haddad24@example.com,Low,Phone,Need help configuring SSO 22,44.3,0
T-20012,05.09.2025,Tom Haddad,tom.haddad15@example.com,Low,Chat,Duplicate records after sync,16.4,0
T-20013,02.03.2025,Marcus Sharma,marcus.sharma30@example.com,High,Phone,Dashboard loads very slowly 807,56.1,2
T-20014,20.05.2025,Omar Berg,omar.berg16@example.com,Normal,Chat,Need help configuring SSO 569,13.8,0
T-20015,21.07.2025,Yuki Haddad,yuki.haddad4@example.com,Urgent,Chat,Cannot export report to PDF,20.1,0
T-20016,16.08.2025,Omar Haddad,omar.haddad7@example.com,Normal,Email,Cannot export report to PDF,76.8,0
T-20017,14.06.2025,Elena Berg,elena.berg11@example.com,Normal,Chat,Invoice amount does not match the order,72.5,0
